ID,Name,Country,Reason
76561198102195119,morale,UnitedKingdom,Ban removed. Posted demos.
76561198852126009,Polterknight,Russia,Aimbot
76561198338099481,wargaem201,International,VAC
76561198170829878,Cryo,International,Aimbot
76561198170829878,Cryo,International,Blacklisted
76561198930074760,Ace,Germany,VAC
76561198065181840,xDeathMachine,International,VAC
76561198296706019,Vecter,International,VAC
76561198019146522,Lupus,Bulgaria,Second failure to upload demos
76561198112430870,ReturnOfXanderCage,SouthKorea,Knowingly playing with alt
76561198016860286,h3x,Turkey,Second failure to upload demos
76561198371186491,Fuyka,Russia,VAC
76561198355491097,NewElz,Russia,Racism
76561198065179630,kul,CzechRepublic,Racism
76561198081974239,Snip,Finland,ban dodging/94521
76561198081974239,Snip,Finland,Blacklisted
76561198170780914,Tama,Italy,"ESP, aimbot"
76561198062775607,begemot аркади,Kazakhstan,VAC
76561198065394976,Walkie,Austria,Intentionally adding a banned player to 
76561199058801667,xd,International,VAC
76561199058801667,xd,International,VAC
76561198274479261,Sam,Russia,VAC
76561198401479039,Jermay,Lithuania,Non-TF2 VAC
76561198037891304,444melkiy444,Russia,VAC
76561197999351143,microsoft_6,International,VAC
76561198236798518,KauanKG,International,VAC
76561198069076730,Expiless,International,VAC
76561198048060063,NovaStone,International,VAC
76561198060118304,lacrimosa,Germany,ESP/Aimbot
76561198165254346,jOKKE,International,VAC
76561198165254346,jOKKE,International,Blacklisted
76561198104915678,Thoner,Belgium,alt of kayziix
76561198104915678,Thoner,Belgium,Blacklisted
76561199001507785,predekk,European,VAC
76561198051139650,Beel,Germany,VAC
76561198044338492,j7,UnitedStates,VAC
76561198044338492,j7,UnitedStates,Blacklisted
76561198045956670,Artasdmc,Lithuania,VAC banned
76561197991522541,SONg,International,VAC
76561198007890829,Engineer,International,VAC
76561198311967579,AmarTDB,International,VAC
76561197994393384,tf2 is dead,Finland,aimbot
76561198172475147,Brayker,Russia,VAC
76561198172475147,Brayker,Russia,VAC
76561199070950718,Poot,Kazakhstan,VAC
76561198938178524,Skynaq,International,Cheating
76561197976345859,one,Wales,Cheating
76561198070512866,Pimskii,Netherlands,Aimbot
76561198030933286,MaxCobar,Serbia,VAC
76561198880814277,Ann.,CzechRepublic,VAC
76561198110988031,W1zardGG,International,VAC - Not TF2
76561198274165935,markoPL,Poland,Harassment
76561198058346678,oxotneck,International,VAC
76561198104852906,Maxwell Kyte,International,VAC
76561198137342312,Lazy,Portugal,VAC
76561198037065789,E4rl,Denmark,VAC Ban
76561198037065789,E4rl,Denmark,Blacklisted
76561197999498340,twisterdub,Lithuania,VAC ban
76561198108476686,Pollicrock,Italy,ACcount sharing
76561197998310521,IcEb3rG,France,Aimbot
76561197998310521,IcEb3rG,France,Blacklisted
76561198063984558,Awesome Ricco,International,VAC ban
